essay,emotion
really diheartening read immigrants article drowned makes feel anxious upset whole ordeal happened terrible occurrence happen mediterranean sea thankfully survivors fact babies lost makes much emotional read,sadness
phone lines suicide prevention line surged election also climbed robin williams committed suciide thankfully prevention line help need sucidal thoughts need condition people committing sucide permanent solution temporary problem,sadness
matter heritage able serve country thai heritage preclude issue debate tammy duckworth family congratulated services provided country type racism allowed debate,neutral
frightening learn shark attacks surfers aware risks associated sport relocating sharks priority would best interest establish moratorium water sports shark epidemic dealt closing beach australia good precautionary method,fear
eldest generation russians treated properly sort financial compensation living little per day financially live poor conditions paying utilities barely enough food health care also taken turn worse afford get proper health treatment due costs involved,sadness
middle east fucked honestly never heard middle east country afganistan deporting people mention sound funny heck would want stay shit hole country infested terrorists child rapists perhaps refugees choice honestly come better country even though countries policies regarding immigration think quite tolerate people war torn countries,anger
well first whoever wrote article know properly divide article paragraphs made reading article extremely painful nonetheless know reading article zika virus tend stay semen vaginal fluid extended amount time obvious mate people zika virus even think baby going defective,anger
well well well look well arrogant kim kardashian finally got deserves robbed millions thought bitter considering robbery think way rich superfluous gal kim broadcasting belongings social media guess brought upon,disgust
another fucked mental sickness american police black residents honestly idea sensitive fucking guns shoot people people respawn shot something police think twice taking people lives legitimate reason guess good police body cam public see shame brining upon,anger
seems horny male college student finally taken courage pursue love rape potential lover disgusting act moral corruption amount emotional trauma done female victim permanent would never feel safe hope gets sentence jail long enough thought,disgust
thought article quite sad read disheartening hear iraqi people felt sad knowing future uncertain hard find job economy deal much worse imagine difficult must living hope gets better future,sadness
sorry hear dakota parents even adult must hard see parents splitting one wants happen unfortunate parents work hope able still remain civil around kids family work romantically mean work,sadness
hearing violence going politics country really sad upsetting easy take granted live lucky worry people killing us daily basis government also democratic means people voice case areas,sadness
think almost everyone opinion hilary clinton donald trump many expect donald win election many political scandals unfolded continuing unravel many agree hilary bengazi investigation many agree trump end politics,neutral
sad see world hunger still large issue countries especially seems like much food goes waste children passing streets simply food eat heartbreaking one suffer simply afford food needs another option,sadness
really amazing much food waste country considering overweight obese people believe wasteful think lot food eat need throw away much food belongs people really need wish people would donate restaurants could donate unused food homeless shelters,surprise
crazy story many facets omg mean one hand support eye eye support death penalty support blinding someone hand country women really struggle justice system well developed also blinded four year old girl fuck wrong guy america would support feel right condemning actions entirely different country felt needed done,anger
heard necrotizing fasciitis really fucking scary think tiny little cut could get disease high likelihood killing also similar bacteria called naegleria fowlerii get body water going nostrils basically eats brain nature fucking metal,disgust
totally support protesters trouble oil pipelines michigan feel like pipelines foisted local communities without care whether good community without adequate studies safe leaks pollution important things life money oil,disgust
really confused multiple articles mushed together like first perturbed first article felt like lady ridiculous weighs pounds obviously calorie diet going cause lose weight fact find scale weigh matter need scale tell losing weight measure body measuring tape got article mexican students found really horrifying believe terrible things people one another,surprise
bad still middle east wish trump would pull middle east entirely soldiers stop targets countries hate us longer easier make inflict damage troops must easy away families,joy
shame air pollution potentially linked increased mental damage young children often take account damage fossil fuel companies done society praise creating fuels use never tax appropriately damage cause us,anger
shame troubled middle east longest time wish could come agreement rest world realistically handle multiple situations middle east feel pull let handle problems guidance us,sadness
shame many random acts violence country seems every week massacre involving either guns right wing extremist muslim extremist think common either mentally ill people people extremist world views religion,disgust
one negative consequences long term war region hospitals yemen devastated war diseases starting spread among population way control without outside help hope people yemen able find humanitarian aid soon help control spread disease,sadness
using trumps name make look bad answer know trump good president right lets discredit success somebody burned church related donald trump lots families go church think someone used attack attack donald trump affiliated makes people look like caused,disgust
felt sad turtles fading habitat temperature rising annually humans help think trying contribute increase carbon dioxide consumption stop global warming try help sea turtles going extinct children grandchildren see future,sadness
shooting good example black people people wrongly prosecuted police articles gentlemen getting trial since concur thing basically police lying judge fairly judged discriminated,disgust
felt bad reading article tons people losing basically lives wild fires destroying farm things even animals without things cant proper living buying selling crops animals hope donate organization something help,sadness
feel afford cremate help financial help entitled crime victims come system today going help criminals hope government helps criminals dangerous activities make world better place,sadness
wish something could getting hand kind far away geographically us needs something international community farmers everywhere killing pests animals interfere farms elephants completely different pests extremely smart hungry honestly wonder come plan feed might sound crazy try study elephants come way communicate abstract ideas,joy
climate change extremely worrisome getting worse worse every year something done think starts getting rid corporate contributions politicians getting rid lobbying world dying think needs clearly communicated many people possible many ceo thinking profits system needs limit power start focusing health species planet instead,fear
shocking little people care little africa gets mentioned news horrific think number victims people harmed wish people could focus ridiculous people getting away huge crisis level genocides history,surprise
hope everyone ok small earthquake extremely scary lot people die safe buildings think major international effort provide guidance nations earthquake prone region little bit prevent deaths earthquakes inevitably hit,fear
sound worrisome affected depression decide individual find another option side effect think many medicines depression side effect something individuals aware nothing critical,neutral
article crazed person murdered two unfortunate women overseas life crazy imagine families going go forced sex work bad enough end like sad feels like place safe world woman sometimes,sadness
people disturbed everyone going point mental illness something like fear things like happens gets easier easier point people call mentally ill fear eventually going get point classify someone mentally ill crowd finger pointing feel victims victims crimes future spend much time making excuses pointing fingers rather dealing problems hand,fear
every time hear something isis help think role us played creation horrors come vacuum power region thankful american read something like also ashamed time chosen represent us past years,sadness
know fan religion context type thing happens everywhere always idiot goes uses religion bigotry sex gender anything really explanation sad read something like even feel like news perhaps access making seem ordinary,sadness
reading stuff like puts refugee perspective something international community taking refugees permanently vast majority people want live build something fault unfortunate enough born within fist crazed dictator,sadness
hello thought behavior thing past read article rather enlightening often think us great divide racial issues dealt us one many racial problems countries makes feel hopeless future fix issues america critizice countries,surprise
fact human beings abusing planet evident article enough get depressed read get idea pollution affects third wolrd countries instead going industries probably american fines rather close schools pollution smog health affected enviroment completely abused,sadness
sad get chance read maybe share could difference person find family sometimes see announcements usually read share hope find importanly hope find family get help think people see read share info bigger chance find identity family imagine someone knew,sadness
know article super wordy interesting read chance ad bored make sure read democrats move forward next years get legoslation moving hard trump white house whole country imagine democrat right trying push legislation constituents asking time alive try make country lot better right,joy
reading issues happening across world seems foreign think trouble anywhere world us usually involved think conflict abuses power nation world especially middle east spell disaster people us really ignore issues happen far away ultimately nation face consequences either sending troops effects,sadness
disgusting wells fargo unbelievable way treated tellers fake accounts even understand bank get shut really think getting account different bank know ss got used make accounts,anger
oh global warming real right kinds time fix problem right humans natural variation right holy crap ever ostriches species going dig heads sand time change happen happen wait old white men run things die,anger
incredibly disgusting feel like count hate crime everyone boat anything incident brought judge made answer involvement really hope lgbt community organizes kind boycott royal caribbean made feel financial pain negligence,disgust
know trouble sleeping read people tinnitus put sleep feel like done help seven percent say tinnitus big problem though psychiatric complaint right affecting life function normally kind help,neutral
terrible find hard believe still many yahoo accounts world spambots kind bots anyway glad got gmail glad shut yahoo account long time ago probably safety sake,anger
read article america refugee problem talked somali community minneapolis believe emotional language tried use article makes sick see reporting concern facts editorializing author wish everyone decided become writer would learn place opinion news,sadness
read article chowder head used hammer pick ax destroy donald trump star hollywood walk fame wow great protest sure showed good job lol believe garbage hollow pathetic life anything better time commit petty vandalism dislike politician dingus,anger
